Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,UAL559,N850UA,A319,Arrival,IAH,EWR,Gate_98,Gate_98,4R,4R,GUSTI,,9/20/15 21:51,,9/20/15 18:45,9/20/15 18:44,,9/20/15 18:59,9/20/15 21:51,,9/20/15 22:05,9/20/15 22:04,0:12:56
General Aviation,JBU1444,N639JB,A320,Arrival,PBI,EWR,,Gate_18,4R,4R,AMNDA,,9/20/15 21:53,,9/20/15 17:52,,,9/20/15 19:41,9/20/15 21:53,9/20/15 22:00,9/20/15 20:39,9/20/15 22:02,0:08:43
United Airlines,RPA3284,N721YX,E170,Arrival,MSP,EWR,Gate_107,Gate_107,4R,4R,ODI,,9/20/15 21:55,,9/20/15 19:04,9/20/15 19:18,,9/20/15 19:44,9/20/15 21:55,9/20/15 22:00,9/20/15 22:00,9/20/15 22:03,0:08:12
United Airlines,ASQ4572,N16981,E145,Arrival,GSP,EWR,Gate_24A,Gate_24A,4R,4R,SPA,,9/20/15 21:56,,9/20/15 20:43,9/20/15 20:28,,9/20/15 20:36,9/20/15 21:56,9/20/15 22:01,9/20/15 22:40,9/20/15 22:03,0:07:12
United Airlines,ASQ6124,N12540,E145,Arrival,CLT,EWR,Gate_27A,Gate_27A,4R,4R,MERIL,,9/20/15 22:02,,9/20/15 19:55,9/20/15 20:17,,9/20/15 20:46,9/20/15 22:02,9/20/15 22:07,9/20/15 21:46,9/20/15 22:08,0:06:01
United Airlines,UAL1149,N68452,B739,Arrival,SFO,EWR,Gate_75,Gate_75,4R,4R,TIPRE,,9/20/15 22:03,,9/20/15 16:39,9/20/15 16:42,,9/20/15 17:02,9/20/15 22:03,9/20/15 22:07,9/20/15 22:15,9/20/15 22:08,0:04:15
United Airlines,ASQ4414,N16170,E45X,Arrival,MSN,EWR,Gate_26,Gate_26,4R,4R,BAE,,9/20/15 22:05,,9/20/15 20:12,9/20/15 20:15,,9/20/15 20:22,9/20/15 22:05,9/20/15 22:11,9/20/15 22:25,9/20/15 22:13,0:07:33
General Aviation,JBU574,N661JB,A320,Arrival,TPA,EWR,,Gate_17,4R,4R,DUNKN,,9/20/15 22:14,,9/20/15 19:50,,,9/20/15 20:10,9/20/15 22:14,9/20/15 22:21,9/20/15 22:29,9/20/15 22:21,0:07:10
United Airlines,ASQ3831,N14977,E145,Arrival,BNA,EWR,Gate_23A,Gate_23A,4R,4R,SWAPP,,9/20/15 22:16,,9/20/15 20:19,9/20/15 20:19,,9/20/15 20:37,9/20/15 22:16,9/20/15 22:22,9/20/15 22:29,9/20/15 22:22,0:06:09
General Aviation,RPA4287,N437YX,E170,Arrival,ORD,EWR,,Gate_35,4R,4R,DUFEE,,9/20/15 22:18,,9/20/15 20:25,,,9/20/15 20:44,9/20/15 22:18,9/20/15 22:22,,9/20/15 22:23,0:05:00
United Airlines,UAL1960,N33264,B738,Arrival,LAX,EWR,Gate_94,Gate_94,4R,4R,TRM,,9/20/15 22:20,,9/20/15 17:34,9/20/15 17:27,,9/20/15 17:44,9/20/15 22:20,9/20/15 22:24,9/20/15 23:06,9/20/15 22:35,0:14:39
General Aviation,VRD1178,N630VA,A320,Arrival,SFO,EWR,Gate_32,Gate_32,4R,4R,MOGEE,,9/20/15 22:22,,9/20/15 17:00,9/20/15 17:00,,9/20/15 17:16,9/20/15 22:22,9/20/15 22:27,9/20/15 22:30,9/20/15 22:28,0:06:14
General Aviation,JBU2779,N354JB,E190,Arrival,BOS,EWR,,,4R,4R,PATSS,,9/20/15 22:24,,9/20/15 20:42,,,9/20/15 21:30,9/20/15 22:24,9/20/15 22:30,9/20/15 22:00,,
United Airlines,ASQ4748,N11192,E45X,Arrival,DCA,EWR,Gate_21,Gate_21,4R,4R,SWANN,,9/20/15 22:27,,9/20/15 21:35,9/20/15 21:33,,9/20/15 21:51,9/20/15 22:27,9/20/15 22:32,9/20/15 22:40,9/20/15 22:39,0:11:36
General Aviation,ACA768,C-FMZB,E190,Arrival,YYZ,EWR,,,4R,4R,BMPAH,,9/20/15 22:32,,9/20/15 16:20,9/20/15 16:16,,9/20/15 16:28,9/20/15 22:32,,9/20/15 17:59,9/20/15 17:38,
General Aviation,SWA2799,N472WN,B737,Arrival,DEN,EWR,Gate_10,Gate_10,4R,4R,ZIRKL,,9/20/15 22:35,,9/20/15 19:10,9/20/15 19:17,,9/20/15 19:28,9/20/15 22:35,9/20/15 22:43,9/20/15 22:55,9/20/15 22:45,0:10:05
General Aviation,AAL1662,N945AN,B738,Arrival,DFW,EWR,Gate_33,Gate_33,4R,4R,LOOSE,,9/20/15 22:38,,9/20/15 19:35,9/20/15 19:31,,9/20/15 19:50,9/20/15 22:38,9/20/15 22:46,9/20/15 23:04,9/20/15 22:46,0:08:48
General Aviation,DAL2344,N313US,A320,Arrival,MSP,EWR,Gate_40,Gate_40,4R,4R,ALO,Domestic,9/20/15 22:40,9/21/15,9/20/15 20:14,9/20/15 20:13,,9/20/15 20:34,9/20/15 22:40,9/20/15 22:45,9/20/15 22:58,9/20/15 22:46,0:06:29
General Aviation,AAL0000,N183UW,A321-211,Arrival,,,,Gate_36,4R,4R,,,9/20/15 22:41,,,,,,9/20/15 22:41,9/20/15 22:47,,9/20/15 22:47,0:06:05
General Aviation,JBU1290,N709JB,A320,Arrival,SJU,EWR,,Gate_18,4R,4R,ELMUC,,9/20/15 22:44,,9/20/15 19:01,,,9/20/15 19:03,9/20/15 22:44,9/20/15 22:50,9/20/15 23:00,9/20/15 22:50,0:06:40
General Aviation,SWA2625,N7748A,B737,Arrival,MDW,EWR,Gate_14,Gate_14,4R,4R,LEWKE,,9/20/15 22:45,,9/20/15 20:55,9/20/15 20:54,,9/20/15 21:16,9/20/15 22:45,9/20/15 22:52,9/20/15 22:55,9/20/15 22:53,0:08:12
General Aviation,POE149,C-GLQZ,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,,,AHPAH,International,9/20/15 22:48,9/21/15,9/20/15 21:40,9/20/15 21:40,,9/20/15 21:40,9/20/15 22:48,9/20/15 22:51,9/20/15 23:10,9/20/15 23:14,0:26:01
United Airlines,UAL1561,N33292,B738,Arrival,DEN,EWR,Gate_134,Gate_134,4R,4R,SHAYK,,9/20/15 22:52,,9/20/15 19:36,9/20/15 19:34,,9/20/15 19:52,9/20/15 22:52,9/20/15 22:56,9/20/15 23:18,9/20/15 23:09,0:16:47
United Airlines,UAL1278,N77510,B738,Arrival,ORD,EWR,Gate_113,Gate_113,4R,4R,DUFEE,,9/20/15 22:55,,9/20/15 20:48,9/20/15 21:12,,9/20/15 21:25,9/20/15 22:55,9/20/15 22:58,9/20/15 22:59,9/20/15 23:00,0:05:28
General Aviation,JBU328,N828JB,A320,Arrival,MCO,EWR,,Gate_18,4R,4R,SAV,,9/20/15 22:59,,9/20/15 20:49,,,9/20/15 20:58,9/20/15 22:59,9/20/15 23:10,9/20/15 23:19,9/20/15 23:11,0:12:22
United Airlines,UAL721,N489UA,A320,Arrival,SFO,EWR,Gate_137,Gate_137,4R,4R,MOGEE,,9/20/15 23:01,,9/20/15 17:45,9/20/15 17:55,,9/20/15 18:11,9/20/15 23:01,,9/20/15 23:13,9/20/15 23:19,0:18:34
United Airlines,RPA4908,N34NG,DH8D,Arrival,RDU,EWR,Gate_109,Gate_109,4R,4R,LVL,,9/20/15 23:02,,9/20/15 20:05,9/20/15 21:32,,9/20/15 21:47,9/20/15 23:02,9/20/15 23:05,9/20/15 22:00,9/20/15 23:06,0:03:10
General Aviation,AAL683,N640AW,A320,Arrival,PHX,EWR,,Gate_38,4R,4R,ABQ,,9/20/15 23:05,,9/20/15 18:20,,,9/20/15 19:04,9/20/15 23:05,9/20/15 23:11,,9/20/15 23:12,0:06:18
United Airlines,ASQ6180,N14542,E145,Arrival,IAD,EWR,Gate_20,Gate_20,4R,4R,SWANN,,9/20/15 23:08,,9/20/15 22:05,9/20/15 22:01,,9/20/15 22:27,9/20/15 23:08,9/20/15 23:15,9/20/15 23:13,9/20/15 23:44,0:35:48
United Airlines,TCF3441,N856RW,E170,Arrival,DFW,EWR,Gate_22,Gate_22,4R,4R,BSKAT,,9/20/15 23:18,,9/20/15 20:17,9/20/15 20:17,,9/20/15 20:33,9/20/15 23:18,9/20/15 23:24,9/20/15 23:49,9/20/15 23:24,0:05:48
General Aviation,DAL1660,N923DL,MD88,Arrival,DTW,EWR,Gate_44,Gate_44,4R,4R,ERRTH,Domestic,9/20/15 23:25,9/21/15,9/20/15 21:51,9/20/15 21:55,,9/20/15 22:15,9/20/15 23:25,9/20/15 23:29,9/20/15 23:29,9/20/15 23:30,0:05:06
General Aviation,SWA5001,N442WN,B737,Arrival,BNA,EWR,Gate_15,Gate_15,4R,4R,SWAPP,,9/20/15 23:27,,9/20/15 21:50,9/20/15 21:46,,9/20/15 21:54,9/20/15 23:27,9/20/15 23:33,9/20/15 23:55,9/20/15 23:35,0:07:15
United Airlines,UAL1932,N17229,B738,Arrival,SEA,EWR,Gate_132,Gate_132,4R,4R,SEA,,9/20/15 23:29,,9/20/15 18:45,9/20/15 18:42,,9/20/15 18:57,9/20/15 23:29,9/20/15 23:35,9/20/15 23:55,9/20/15 23:36,0:07:09
General Aviation,ASA14,N435AS,B739,Arrival,SEA,EWR,Gate_30,Gate_30,4R,4R,SEA,,9/20/15 23:31,,9/20/15 18:55,9/20/15 18:48,,9/20/15 19:01,9/20/15 23:31,9/20/15 23:36,9/20/15 23:59,9/20/15 23:37,0:05:56
United Airlines,UAL1928,N16713,B737,Arrival,ATL,EWR,Gate_84,Gate_84,4R,4R,SPA,,9/20/15 23:34,,9/20/15 21:37,9/20/15 21:32,,9/20/15 21:56,9/20/15 23:34,9/20/15 23:37,9/20/15 23:55,9/20/15 23:38,0:03:56
United Airlines,UAL1933,N79521,B738,Arrival,IAH,EWR,Gate_81,Gate_81,4L,4L,ORRTH,,9/20/15 23:38,,9/20/15 20:16,9/20/15 20:28,,9/20/15 20:58,9/20/15 23:38,9/20/15 23:40,9/20/15 23:38,9/20/15 23:40,0:02:52
United Airlines,UAL884,N834UA,A319,Arrival,ORD,EWR,Gate_72,Gate_72,4L,4L,DUFEE,,9/20/15 23:40,,9/20/15 21:55,9/20/15 21:52,,9/20/15 22:10,9/20/15 23:40,9/20/15 23:43,9/21/15 0:10,9/20/15 23:44,0:03:55
General Aviation,AAL1782,N188US,A321,Arrival,CLT,EWR,,Gate_36,4L,4L,MERIL,,9/20/15 23:42,,9/20/15 22:15,,,9/20/15 22:29,9/20/15 23:42,9/20/15 23:47,,9/20/15 23:48,0:06:14
United Airlines,UAL1191,N14235,B738,Arrival,LAX,EWR,Gate_105,Gate_105,4L,4L,TRM,,9/20/15 23:47,,9/20/15 19:03,9/20/15 19:00,,9/20/15 19:10,9/20/15 23:47,9/20/15 23:49,9/21/15 0:24,9/20/15 23:51,0:03:48
General Aviation,DAL2415,N911DE,MD88,Arrival,ATL,EWR,Gate_45,Gate_45,4L,4L,SPA,Domestic,9/20/15 23:52,9/21/15,9/20/15 22:00,9/20/15 21:59,,9/20/15 22:15,9/20/15 23:52,9/20/15 23:56,9/21/15 0:12,9/20/15 23:56,0:03:42
General Aviation,UCA839,N857CA,DH8C,Departure,EWR,BDL,,,22R,22R,BREZY,,9/19/15 0:03,,9/18/15 23:15,,,9/19/15 0:03,,,,,
United Airlines,RPA3293,N723YX,E170,Departure,EWR,CMH,Gate_111,Gate_111,22L,22L,ZIMMZ,,9/19/15 0:35,,9/18/15 20:50,9/19/15 0:26,9/19/15 0:30,9/19/15 0:35,9/19/15 1:41,,9/18/15 22:37,9/19/15 1:49,0:08:50
General Aviation,UPS108,N354UP,B763,Departure,EWR,ANC,,,22L,22L,GAYEL,,9/19/15 0:53,,9/19/15 1:00,,,9/19/15 0:53,,,,,
General Aviation,CPA899,B-KQP,B77W,Departure,EWR,HKG,,,22L,22L,MERIT,,9/19/15 1:55,,9/19/15 1:45,9/19/15 1:36,,9/19/15 1:55,,,9/19/15 17:30,,
General Aviation,AAL881,N122US,A320,Departure,EWR,CLT,,,22L,22L,BIGGY,,9/19/15 5:10,,9/19/15 5:00,,,9/19/15 5:10,9/19/15 6:30,,,,
General Aviation,RPA4372,N409YX,E170,Departure,EWR,ORD,,,22L,22L,COATE,,9/19/15 5:18,,9/19/15 5:00,,,9/19/15 5:18,9/19/15 7:10,,,,
General Aviation,AAL1458,N922NN,B738,Departure,EWR,DFW,Gate_34,Gate_34,22L,22L,LANNA,,9/19/15 5:19,,9/19/15 5:00,9/19/15 5:03,9/19/15 5:10,9/19/15 5:19,9/19/15 8:16,,9/19/15 8:52,,0:16:18
United Airlines,UAL1096,N78060,B764,Departure,EWR,IAH,Gate_90,Gate_90,22L,22L,LANNA,,9/19/15 5:50,,9/19/15 5:30,9/19/15 5:36,9/19/15 5:43,9/19/15 5:50,9/19/15 8:35,,9/19/15 9:07,9/19/15 8:44,0:14:38
United Airlines,UAL1290,N66825,B739,Departure,EWR,FLL,Gate_110,Gate_110,22R,22R,ELVAE,,9/19/15 6:05,,9/19/15 6:00,9/19/15 5:56,9/19/15 6:01,9/19/15 6:05,9/19/15 8:24,,9/19/15 8:58,9/19/15 8:30,0:08:40
General Aviation,DAL1165,N918DL,MD88,Departure,EWR,DTW,Gate_46B,Gate_46B,22R,22R,GAYEL,Domestic,9/19/15 6:07,9/19/15,9/19/15 6:00,9/19/15 5:55,9/19/15 6:02,9/19/15 6:07,9/19/15 7:28,,9/19/15 7:44,9/19/15 7:33,0:11:35
General Aviation,AWI3754,N435AW,CRJ2,Departure,EWR,PHL,Gate_39,Gate_39,22R,22R,SBJ,,9/19/15 6:08,,9/19/15 6:00,9/19/15 6:01,9/19/15 6:02,9/19/15 6:08,9/19/15 6:31,,9/19/15 6:49,9/19/15 6:35,0:06:42
United Airlines,UAL1735,N33264,B738,Departure,EWR,SFO,Gate_127,Gate_127,22R,22R,COATE,,9/19/15 6:17,,9/19/15 6:00,9/19/15 6:05,9/19/15 6:05,9/19/15 6:17,9/19/15 12:13,,9/19/15 12:17,9/19/15 12:17,0:11:29
United Airlines,TCF3522,N637RW,E170,Departure,EWR,ORD,Gate_22,Gate_22,22R,22R,COATE,,9/19/15 6:18,,9/19/15 6:00,9/19/15 6:03,9/19/15 6:07,9/19/15 6:18,9/19/15 8:13,,9/19/15 8:28,9/19/15 8:18,0:14:54
United Airlines,ASQ6177,N15985,E145,Departure,EWR,IAD,Gate_26A,Gate_26A,22R,22R,PARKE,,9/19/15 6:19,,9/19/15 6:00,9/19/15 6:06,9/19/15 6:11,9/19/15 6:19,9/19/15 7:01,,9/19/15 7:14,9/19/15 7:12,0:13:27
General Aviation,JBU27,N520JB,A320,Departure,EWR,MCO,Gate_17,Gate_17,22R,22R,ELVAE,,9/19/15 6:21,,9/19/15 6:10,9/19/15 6:08,9/19/15 6:13,9/19/15 6:21,9/19/15 8:30,,9/19/15 8:46,,0:12:41
General Aviation,DAL575,N927AT,B712,Departure,EWR,ATL,Gate_40,Gate_40,22R,22R,LANNA,Domestic,9/19/15 6:22,9/19/15,9/19/15 6:15,9/19/15 6:12,9/19/15 6:17,9/19/15 6:22,9/19/15 8:04,,9/19/15 8:43,,0:10:04
General Aviation,AAL2023,N125UW,A320,Departure,EWR,CLT,,,22R,22R,BIGGY,,9/19/15 6:26,,9/19/15 6:15,,,9/19/15 6:26,9/19/15 7:47,,,,
United Airlines,UAL1582,N81449,B739,Departure,EWR,IAH,Gate_86,Gate_86,22R,22R,LANNA,,9/19/15 6:28,,9/19/15 6:25,9/19/15 6:19,9/19/15 6:23,9/19/15 6:28,9/19/15 9:25,,9/19/15 10:07,9/19/15 9:31,0:09:06
United Airlines,UAL1743,N37298,B738,Departure,EWR,LAX,Gate_70,Gate_70,22R,22R,ZIMMZ,,9/19/15 6:31,,9/19/15 6:00,9/19/15 6:19,9/19/15 6:27,9/19/15 6:31,9/19/15 12:00,,9/19/15 11:59,9/19/15 12:07,0:11:34
General Aviation,ACA763,C-FLWE,E190,Departure,EWR,YYZ,Gate_12,Gate_12,22R,22R,GAYEL,,9/19/15 6:43,,9/19/15 6:35,9/19/15 6:31,9/19/15 6:35,9/19/15 6:43,9/19/15 7:43,,9/19/15 8:15,9/19/15 8:15,0:11:46
United Airlines,UAL1916,N69819,B739,Departure,EWR,LAS,Gate_103,Gate_103,22R,22R,COATE,,9/19/15 6:46,,9/19/15 6:29,9/19/15 6:32,9/19/15 6:39,9/19/15 6:46,9/19/15 11:52,,9/19/15 12:05,9/19/15 12:00,0:13:23
United Airlines,ASQ3262,N14573,E145,Departure,EWR,ATL,Gate_28,Gate_28,22R,22R,LANNA,,9/19/15 6:47,,9/19/15 6:30,9/19/15 6:35,9/19/15 6:38,9/19/15 6:47,9/19/15 8:36,,9/19/15 8:59,9/19/15 8:44,0:12:06
United Airlines,UAL1146,N17139,B752,Departure,EWR,DEN,Gate_95,Gate_95,22R,22R,COATE,,9/19/15 6:53,,9/19/15 6:40,9/19/15 6:43,9/19/15 6:48,9/19/15 6:53,9/19/15 10:39,,9/19/15 10:55,9/19/15 10:51,0:09:36
General Aviation,AAL1008,N852NN,B738,Departure,EWR,DFW,Gate_33,Gate_33,22R,22R,PARKE,,9/19/15 6:55,,9/19/15 6:45,9/19/15 6:41,9/19/15 6:45,9/19/15 6:55,9/19/15 10:06,,9/19/15 10:46,,0:14:00
United Airlines,UAL1762,N26208,B738,Departure,EWR,SAN,Gate_97,Gate_97,22R,22R,PARKE,,9/19/15 6:57,,9/19/15 6:50,9/19/15 6:49,9/19/15 6:53,9/19/15 6:57,9/19/15 12:32,,9/19/15 12:46,9/19/15 12:36,0:08:44
General Aviation,AAL1709,N572UW,A321,Departure,EWR,CLT,,,22R,22R,BIGGY,,9/19/15 7:02,,9/19/15 6:55,,,9/19/15 7:02,9/19/15 8:23,,,,
General Aviation,AWI4036,N460AW,CL-600-2B19,Departure,EWR,PHL,Gate_39,Gate_39,22R,22R,SBJ,,9/19/15 7:04,,9/19/15 7:00,9/19/15 6:58,9/19/15 6:58,9/19/15 7:04,9/19/15 7:30,,9/19/15 7:55,9/19/15 7:37,0:06:48
United Airlines,ASQ6142,N12924,E145,Departure,EWR,CHS,Gate_24,Gate_24,22R,22R,ELVAE,,9/19/15 7:07,,9/19/15 6:59,9/19/15 6:57,9/19/15 7:01,9/19/15 7:07,9/19/15 8:42,,9/19/15 9:03,9/19/15 8:50,0:09:50
General Aviation,ASA17,N435AS,B739,Departure,EWR,SEA,Gate_30,Gate_30,22R,22R,GAYEL,,9/19/15 7:08,,9/19/15 7:00,9/19/15 6:58,9/19/15 7:02,9/19/15 7:08,9/19/15 12:25,,9/19/15 12:55,,0:10:09
General Aviation,SWA3891,N7707C,B737,Departure,EWR,MSY,Gate_14,Gate_14,22R,22R,LANNA,,9/19/15 7:10,,9/19/15 7:00,9/19/15 7:02,9/19/15 7:04,9/19/15 7:10,,,9/19/15 10:20,,0:07:41
General Aviation,SWA3886,N7703A,B737,Departure,EWR,MDW,Gate_15,Gate_15,22R,22R,NEWEL,,9/19/15 7:13,,9/19/15 6:00,9/19/15 6:57,9/19/15 6:58,9/19/15 7:13,9/19/15 9:19,,9/19/15 8:20,,0:15:21
United Airlines,UAL1162,N69840,B739,Departure,EWR,MCO,Gate_72,Gate_72,22R,22R,ELVAE,,9/19/15 7:15,,9/19/15 7:00,9/19/15 7:01,9/19/15 7:10,9/19/15 7:15,9/19/15 9:23,,9/19/15 9:46,9/19/15 9:37,0:14:16
United Airlines,ASQ4615,N14568,E145,Departure,EWR,BOS,Gate_20A,Gate_20A,22R,22R,MERIT,,9/19/15 7:17,,9/19/15 7:00,9/19/15 7:09,9/19/15 7:13,9/19/15 7:17,9/19/15 8:04,,9/19/15 8:10,9/19/15 8:08,0:07:58
United Airlines,UAL1080,N76517,B738,Departure,EWR,SJO,Gate_107,Gate_107,22R,22R,ELVAE,,9/19/15 7:22,,9/19/15 7:15,9/19/15 7:13,9/19/15 7:17,9/19/15 7:22,9/19/15 12:02,,9/19/15 12:35,9/19/15 12:05,0:09:24
United Airlines,ASQ4298,N14902,E145,Departure,EWR,GSO,Gate_26,Gate_26,22R,22R,BIGGY,,9/19/15 7:24,,9/19/15 7:15,9/19/15 7:14,9/19/15 7:17,9/19/15 7:24,9/19/15 8:30,,9/19/15 8:53,9/19/15 8:34,0:10:06
General Aviation,VRD183,N845VA,A320,Departure,EWR,SFO,Gate_32,Gate_32,22R,22R,GAYEL,,9/19/15 7:41,,9/19/15 7:30,9/19/15 7:28,9/19/15 7:34,9/19/15 7:41,9/19/15 13:28,,9/19/15 13:35,,0:13:19
General Aviation,DAL807,N948AT,B712,Departure,EWR,ATL,*46,,22R,22R,LANNA,Domestic,9/19/15 7:42,9/19/15,9/19/15 7:30,9/19/15 7:28,,9/19/15 7:42,9/19/15 9:21,,9/19/15 9:54,,
United Airlines,ASQ5683,N14180,E45X,Departure,EWR,YUL,Gate_23A,Gate_23A,22R,22R,GREKI,,9/19/15 7:44,,9/19/15 7:30,9/19/15 7:31,9/19/15 7:36,9/19/15 7:44,9/19/15 8:40,,9/19/15 8:50,9/19/15 8:50,0:12:27
United Airlines,ASQ5887,N13903,E145,Departure,EWR,PWM,Gate_24A,Gate_24A,22R,22R,GREKI,,9/19/15 7:46,,9/19/15 7:35,9/19/15 7:36,9/19/15 7:40,9/19/15 7:46,9/19/15 8:44,,9/19/15 8:49,9/19/15 8:49,0:09:47
General Aviation,JBU5,N554JB,A320,Departure,EWR,FLL,Gate_18,Gate_10,22R,22R,ELVAE,,9/19/15 7:48,,9/19/15 7:30,9/19/15 7:34,,9/19/15 7:48,9/19/15 10:08,,9/19/15 10:23,,0:14:12
General Aviation,SWA1276,N952WN,B737,Departure,EWR,BNA,Gate_15,Gate_15,22R,22R,PARKE,,9/19/15 7:51,,9/19/15 7:40,9/19/15 7:40,9/19/15 7:44,9/19/15 7:51,9/19/15 9:35,,9/19/15 10:00,9/19/15 9:35,0:10:47
United Airlines,ASQ4559,N13161,E45X,Departure,EWR,MSP,Gate_21,Gate_21,22R,22R,GAYEL,,9/19/15 7:52,,9/19/15 7:30,9/19/15 7:39,9/19/15 7:44,9/19/15 7:52,9/19/15 10:30,,9/19/15 10:30,9/19/15 10:40,0:13:24
General Aviation,POE120,C-GKQC,DH8D,Departure,EWR,YTZ,Gate_51,,22R,22R,COATE,International,9/19/15 7:53,9/19/15,9/19/15 7:45,9/19/15 7:45,9/19/15 7:46,9/19/15 7:53,9/19/15 9:03,,9/19/15 9:15,9/19/15 9:15,
United Airlines,UCA4845,N857CA,DH8C,Departure,EWR,ORF,Gate_114,Gate_114,22R,22R,ELVAE,,9/19/15 7:54,,9/19/15 7:50,9/19/15 7:46,9/19/15 7:49,9/19/15 7:54,9/19/15 9:05,,9/19/15 9:32,9/19/15 9:10,0:08:04
United Airlines,ASQ4198,N17146,E45X,Departure,EWR,STL,Gate_24,Gate_24,22R,22R,PARKE,,9/19/15 7:57,,9/19/15 6:59,9/19/15 7:44,9/19/15 7:48,9/19/15 7:57,9/19/15 10:07,,9/19/15 9:45,9/19/15 10:11,0:12:41
General Aviation,,N415P,GV-SP (G550),Departure,,,,,22R,22R,,,9/19/15 7:57,,,,,9/19/15 9:16,,,,,
General Aviation,RPA4248,N405YX,E170,Departure,EWR,ORD,,,22R,22R,COATE,,9/19/15 7:58,,9/19/15 7:30,,,9/19/15 7:58,9/19/15 9:52,,,,
United Airlines,UAL1457,N23721,B737,Departure,EWR,IAH,Gate_132,Gate_132,22R,22R,LANNA,,9/19/15 8:00,,9/19/15 7:55,9/19/15 7:48,9/19/15 7:52,9/19/15 8:00,9/19/15 11:02,,9/19/15 11:33,9/19/15 11:08,0:11:08
United Airlines,UAL1272,N76528,B738,Departure,EWR,MIA,Gate_101,Gate_101,22R,22R,ELVAE,,9/19/15 8:01,,9/19/15 7:53,9/19/15 7:51,9/19/15 7:55,9/19/15 8:01,9/19/15 10:31,,9/19/15 11:00,9/19/15 10:38,0:10:12
General Aviation,FDX604,N575FE,MD11,Departure,EWR,MEM,,,22R,22R,LANNA,,9/19/15 8:02,,9/19/15 8:00,,,9/19/15 8:02,9/19/15 10:04,,,,
United Airlines,ASQ3848,N18556,E145,Departure,EWR,RIC,Gate_25,Gate_25,22R,22R,ELVAE,,9/19/15 8:04,,9/19/15 7:53,9/19/15 7:53,9/19/15 7:57,9/19/15 8:04,9/19/15 9:15,,9/19/15 9:17,9/19/15 9:29,0:11:36
United Airlines,UAL1522,N38459,B739,Departure,EWR,IAH,Gate_75,Gate_75,22R,22R,LANNA,,9/19/15 8:06,,9/19/15 7:50,9/19/15 7:54,9/19/15 7:58,9/19/15 8:06,9/19/15 11:00,,9/19/15 11:31,9/19/15 11:06,0:11:21
United Airlines,UCA4789,N358PH,DH8B,Departure,EWR,PVD,Gate_95,Gate_95,22R,22R,BREZY,,9/19/15 8:06,,9/19/15 8:00,9/19/15 7:59,9/19/15 8:00,9/19/15 8:06,9/19/15 8:45,,9/19/15 9:09,9/19/15 9:00,0:07:46
United Airlines,UAL1531,N18243,B738,Departure,EWR,SEA,Gate_104,Gate_104,22R,22R,GAYEL,,9/19/15 8:09,,9/19/15 7:59,9/19/15 7:55,9/19/15 7:59,9/19/15 8:09,9/19/15 13:49,,9/19/15 14:04,9/19/15 13:54,0:14:08
United Airlines,UAL1915,N57862,B753,Departure,EWR,TPA,Gate_135,Gate_135,22R,22R,BIGGY,,9/19/15 8:10,,9/19/15 7:50,9/19/15 7:54,9/19/15 7:59,9/19/15 8:10,9/19/15 10:22,,9/19/15 10:42,9/19/15 10:31,0:16:48
United Airlines,UAL1906,N38727,B737,Departure,EWR,MCO,Gate_112,Gate_61,22R,22R,ELVAE,,9/19/15 8:12,,9/19/15 8:00,9/19/15 7:58,9/19/15 8:01,9/19/15 8:12,9/19/15 10:22,,9/19/15 10:46,9/19/15 10:36,0:13:23
United Airlines,ASQ4292,N14991,E145,Departure,EWR,YHZ,Gate_26A,Gate_26A,22R,22R,GREKI,,9/19/15 8:13,,9/19/15 8:05,9/19/15 8:03,9/19/15 8:06,9/19/15 8:13,9/19/15 9:46,,9/19/15 10:03,9/19/15 9:53,0:10:04
General Aviation,FDX3015,N651FE,A306,Departure,EWR,OAK,,,22R,22R,GAYEL,,9/19/15 8:14,,9/19/15 7:45,,,9/19/15 8:14,9/19/15 13:45,,,,
United Airlines,UAL347,N416UA,A320,Departure,EWR,CLE,Gate_74,Gate_74,22R,22R,NEWEL,,9/19/15 8:16,,9/19/15 8:04,9/19/15 8:02,9/19/15 8:10,9/19/15 8:16,9/19/15 9:16,,9/19/15 9:41,9/19/15 9:23,0:13:29
General Aviation,JBU1511,N709JB,A320,Departure,EWR,RSW,Gate_16,Gate_16,22R,22R,BIGGY,,9/19/15 8:17,,9/19/15 8:00,9/19/15 8:01,9/19/15 8:07,9/19/15 8:17,9/19/15 10:39,,9/19/15 11:04,,0:15:41
General Aviation,ACA585,C-FMYV,E190,Departure,EWR,YYC,Gate_11,Gate_11,22R,22R,GAYEL,,9/19/15 8:18,,9/19/15 8:00,9/19/15 7:59,9/19/15 8:07,9/19/15 8:18,9/19/15 12:48,,9/19/15 13:16,,0:19:29
