Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,ASQ4243,N18556,E145,Arrival,BWI,EWR,Gate_25,Gate_25,22L,22L,DQO,,9/19/15 7:04,,9/19/15 6:10,9/19/15 6:05,,9/19/15 6:24,9/19/15 7:04,9/19/15 7:07,9/19/15 7:16,9/19/15 7:08,0:03:46
United Airlines,ASQ4529,N14905,E145,Arrival,YOW,EWR,Gate_28,Gate_28,22L,22L,IKLAX,,9/19/15 7:12,,9/19/15 6:00,9/19/15 6:00,,9/19/15 6:15,9/19/15 7:12,9/19/15 7:16,9/19/15 7:25,9/19/15 7:29,0:17:05
United Airlines,RPA3282,N725YX,E170,Arrival,DTW,EWR,Gate_70,Gate_70,22L,22L,ERRTH,,9/19/15 7:14,,9/19/15 5:48,9/19/15 5:44,,9/19/15 6:02,9/19/15 7:14,9/19/15 7:22,9/19/15 7:30,9/19/15 7:23,0:09:31
United Airlines,UCA4839,N838CA,DH8C,Arrival,RIC,EWR,Gate_99,Gate_99,22L,22L,PXT,,9/19/15 7:15,,9/19/15 5:59,9/19/15 5:49,,9/19/15 6:03,9/19/15 7:15,9/19/15 7:19,9/19/15 7:30,9/19/15 7:19,0:03:31
United Airlines,UAL1050,N14704,B737,Arrival,CLE,EWR,Gate_134,Gate_134,22L,22L,FAILS,,9/19/15 7:17,,9/19/15 6:00,9/19/15 5:56,,9/19/15 6:14,9/19/15 7:17,9/19/15 7:24,9/19/15 7:27,9/19/15 7:29,0:11:56
General Aviation,VRD170,N835VA,A320,Arrival,LAX,EWR,,Gate_32,22L,22L,TRM,,9/19/15 7:19,,9/19/15 2:35,9/19/15 2:27,,9/19/15 2:35,9/19/15 7:19,9/19/15 7:21,9/19/15 7:50,9/19/15 7:32,0:13:07
United Airlines,UAL1005,N41140,B752,Arrival,LIM,EWR,Gate_136,Gate_136,22L,22L,PIGBO,,9/19/15 7:21,,9/18/15 23:25,9/18/15 23:39,,9/18/15 23:57,9/19/15 7:21,9/19/15 7:26,9/19/15 7:30,9/19/15 7:27,0:05:58
United Airlines,ASQ4255,N15574,E145,Arrival,RDU,EWR,Gate_20A,Gate_20A,22L,22L,FAK,,9/19/15 7:23,,9/19/15 6:05,9/19/15 5:58,,9/19/15 6:13,9/19/15 7:23,9/19/15 7:28,9/19/15 7:39,9/19/15 7:31,0:07:47
United Airlines,UAL1166,N47414,B739,Arrival,LAX,EWR,Gate_86,Gate_86,22L,22L,TRM,,9/19/15 7:25,,9/19/15 2:40,9/19/15 2:39,,9/19/15 2:52,9/19/15 7:25,9/19/15 7:27,9/19/15 8:01,9/19/15 7:28,0:02:35
United Airlines,TCF3498,N657RW,E170,Arrival,YYZ,EWR,Gate_22,Gate_22,22L,22L,BMPAH,,9/19/15 7:31,,9/19/15 6:10,9/19/15 6:05,,9/19/15 6:33,9/19/15 7:31,9/19/15 7:35,9/19/15 7:36,9/19/15 7:44,0:13:20
United Airlines,,N76054,767-424ER,Arrival,,,,Gate_128,22L,22L,,,9/19/15 7:33,,,,,,9/19/15 7:33,9/19/15 7:38,,9/19/15 7:38,0:05:22
United Airlines,ASQ5680,N16149,E45X,Arrival,CLT,EWR,Gate_20,Gate_20,22L,22L,MERIL,,9/19/15 7:39,,9/19/15 6:07,9/19/15 6:03,,9/19/15 6:15,9/19/15 7:39,9/19/15 7:44,9/19/15 8:00,9/19/15 7:59,0:20:07
United Airlines,UCA4775,N363PH,DH8B,Arrival,IAD,EWR,Gate_85,Gate_85,22L,22L,WOOLY,,9/19/15 7:41,,9/19/15 6:29,9/19/15 6:25,,9/19/15 6:45,9/19/15 7:41,9/19/15 7:45,9/19/15 7:48,9/19/15 7:48,0:06:49
United Airlines,UAL224,N807UA,A319,Arrival,ATL,EWR,Gate_97,Gate_97,22L,22L,SPA,,9/19/15 7:44,,9/19/15 5:50,9/19/15 5:51,,9/19/15 6:01,9/19/15 7:44,9/19/15 7:49,9/19/15 8:00,9/19/15 7:49,0:05:23
United Airlines,ASQ4711,N11176,E45X,Arrival,DCA,EWR,Gate_25,Gate_25,22L,22L,SWANN,,9/19/15 7:46,,9/19/15 7:00,9/19/15 6:55,,9/19/15 7:05,9/19/15 7:46,9/19/15 7:48,9/19/15 8:06,9/19/15 7:55,0:09:24
United Airlines,ASQ4646,N13992,E145,Arrival,CHS,EWR,Gate_26,Gate_26,22L,22L,FILLI,,9/19/15 7:48,,9/19/15 6:10,9/19/15 6:07,,9/19/15 6:16,9/19/15 7:48,9/19/15 7:51,9/19/15 8:08,9/19/15 7:54,0:05:50
United Airlines,ASQ4246,N16178,E45X,Arrival,YUL,EWR,Gate_21,Gate_21,22L,22L,FAWNS,,9/19/15 7:51,,9/19/15 6:15,9/19/15 6:06,,9/19/15 6:38,9/19/15 7:51,9/19/15 7:58,9/19/15 7:45,9/19/15 8:04,0:13:13
General Aviation,,N639PY,,Arrival,,,,Gate_23A,22L,22L,,,9/19/15 7:52,,,,,,9/19/15 7:52,9/19/15 7:57,,9/19/15 7:57,0:04:56
United Airlines,UAL1907,N75854,B753,Arrival,SFO,EWR,Gate_110,Gate_110,22L,22L,SYRAH,,9/19/15 7:54,,9/19/15 2:46,9/19/15 2:46,,9/19/15 3:05,9/19/15 7:54,9/19/15 8:02,9/19/15 8:00,9/19/15 8:02,0:08:36
United Airlines,ASQ4689,N16976,E145,Arrival,YHZ,EWR,Gate_26A,Gate_26A,22L,22L,ALLEX,,9/19/15 7:56,,9/19/15 6:18,9/19/15 6:09,,9/19/15 6:18,9/19/15 7:56,9/19/15 8:02,9/19/15 8:30,9/19/15 8:05,0:08:52
United Airlines,ASQ4380,N12564,E145,Arrival,MHT,EWR,Gate_26X,Gate_26X,22L,22L,HANAA,,9/19/15 8:01,,9/19/15 7:13,9/19/15 7:01,,9/19/15 7:15,9/19/15 8:01,9/19/15 8:05,9/19/15 8:30,9/19/15 8:08,0:07:08
United Airlines,RPA4921,N34NG,DH8D,Arrival,ORF,EWR,Gate_107,Gate_107,22L,22L,HPW,,9/19/15 8:03,,9/19/15 6:25,9/19/15 6:47,,9/19/15 6:55,9/19/15 8:03,9/19/15 8:09,9/19/15 7:59,9/19/15 8:10,0:06:42
United Airlines,RPA3303,N723YX,E170,Arrival,CMH,EWR,Gate_101,Gate_101,22L,22L,GIVES,,9/19/15 8:05,,9/19/15 6:49,9/19/15 6:44,,9/19/15 6:52,9/19/15 8:05,9/19/15 8:11,9/19/15 8:30,9/19/15 8:13,0:08:37
United Airlines,RPA4886,N342NG,DH8D,Arrival,PIT,EWR,Gate_72,Gate_72,22L,22L,EWC,,9/19/15 8:07,,9/19/15 7:00,9/19/15 6:54,,9/19/15 7:04,9/19/15 8:07,9/19/15 8:10,9/19/15 8:29,9/19/15 8:14,0:07:18
United Airlines,ASQ3840,N14179,E45X,Arrival,SBN,EWR,Gate_24,Gate_24,22L,22L,CRL,,9/19/15 8:09,,9/19/15 6:30,9/19/15 6:23,,9/19/15 6:38,9/19/15 8:09,9/19/15 8:15,9/19/15 8:33,9/19/15 8:16,0:06:44
United Airlines,TCF3546,N643RW,E170,Arrival,SDF,EWR,Gate_24A,Gate_24A,22L,22L,SHIPR,,9/19/15 8:12,,9/19/15 6:26,9/19/15 6:25,,9/19/15 6:33,9/19/15 8:12,9/19/15 8:16,9/19/15 8:30,9/19/15 8:17,0:04:58
General Aviation,AIC191,VT-ALU,B77W,Arrival,BOM,EWR,,Gate_55,22L,22L,LIAND354001,,9/19/15 8:21,,9/18/15 16:30,9/18/15 16:30,,,9/19/15 8:21,9/19/15 8:26,9/19/15 7:55,9/19/15 8:26,0:05:18
United Airlines,UAL1579,N21723,B737,Arrival,BOS,EWR,Gate_73,Gate_73,22L,22L,PATSS,,9/19/15 8:23,,9/19/15 7:36,9/19/15 7:26,,9/19/15 7:36,9/19/15 8:23,9/19/15 8:28,9/19/15 9:00,9/19/15 8:29,0:05:33
United Airlines,TCF3495,N634RW,E170,Arrival,BUF,EWR,Gate_22,Gate_22,22L,22L,BEEPS,,9/19/15 8:43,,9/19/15 7:41,9/19/15 7:39,,9/19/15 7:53,9/19/15 8:43,9/19/15 8:46,9/19/15 9:00,9/19/15 8:58,0:14:39
United Airlines,UCA4779,N374PH,DH8B,Arrival,ORF,EWR,Gate_87,Gate_87,22L,22L,HPW,,9/19/15 8:46,,9/19/15 7:14,9/19/15 7:04,,9/19/15 7:19,9/19/15 8:46,9/19/15 8:49,9/19/15 9:00,9/19/15 8:50,0:03:57
United Airlines,TCF3486,N863RW,E170,Arrival,PIT,EWR,Gate_111,Gate_111,22L,22L,EWC,,9/19/15 8:54,,9/19/15 7:41,9/19/15 7:35,,9/19/15 7:59,9/19/15 8:54,9/19/15 8:59,9/19/15 9:00,9/19/15 8:59,0:05:16
United Airlines,UAL1930,N69839,B739,Arrival,BOS,EWR,Gate_136,Gate_136,22L,22L,PATSS,,9/19/15 9:00,,9/19/15 8:06,9/19/15 8:02,,9/19/15 8:15,9/19/15 9:00,9/19/15 9:13,9/19/15 9:30,9/19/15 9:14,0:13:35
General Aviation,POE123,C-GKQB,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,22L,22L,AHPAH,International,9/19/15 9:11,9/19/15,9/19/15 7:55,9/19/15 7:55,,9/19/15 8:10,9/19/15 9:11,9/19/15 9:15,9/19/15 9:30,9/19/15 9:24,0:12:44
United Airlines,UAL246,N828UA,A319,Arrival,MSP,EWR,Gate_135,Gate_135,22L,22L,DLL,,9/19/15 9:17,,9/19/15 7:10,9/19/15 7:01,,9/19/15 7:12,9/19/15 9:17,9/19/15 9:25,9/19/15 9:52,9/19/15 9:26,0:08:21
United Airlines,UAL1978,N14219,B738,Arrival,FLL,EWR,Gate_74,Gate_74,22L,22L,ARKES,,9/19/15 9:28,,9/19/15 7:05,9/19/15 6:55,,9/19/15 7:04,9/19/15 9:28,9/19/15 9:32,9/19/15 10:00,9/19/15 9:33,0:04:15
